country,Avg_Temperature,Avg_Precipitation,Avg_Seasonality,Avg_Aridity
Albania,0.55,0.6,0.475,0.45
Algeria,0.5,0.36,0.24,0.64
Angola,0.516666667,0.483333333,0.333333333,0.5
Argentina,0.423076923,0.469230769,0.338461538,0.453846154
Armenia,0.48,0.46,0.42,0.44
Australia,0.6,0.583333333,0.475,0.466666667
Austria,0.375,0.35,0.325,0.35
Azerbaijan,0.5,0.5,0.425,0.4375
Bahamas,0.7,0.7,0.6,0.3
Bangladesh,0.7,0.766666667,0.633333333,0.266666667
Belarus,0.5,0.5,0.45,0.45
Belgium,0.5,0.6,0.5,0.5
Benin,0.55,0.55,0.45,0.4
Bosnia and Herzegovina,0.575,0.625,0.5,0.45
Botswana,0.5,0.3,0.2,0.65
Brazil,0.644444444,0.744444444,0.6,0.311111111
Bulgaria,0.56,0.62,0.5,0.46
Burkina Faso,0.566666667,0.433333333,0.333333333,0.533333333
Burundi,0.55,0.75,0.5,0.25
Cameroon,0.72,0.64,0.56,0.38
Canada,0.358333333,0.358333333,0.325,0.35
Central African Republic,0.666666667,0.666666667,0.566666667,0.333333333
Chile,0.4125,0.3625,0.2875,0.525
China,0.43125,0.45625,0.36875,0.35
Colombia,0.644444444,0.677777778,0.544444444,0.366666667
Congo Dem. Rep.,0.85,0.875,0.775,0.2
Costa Rica,0.775,0.8,0.725,0.275
Croatia,0.575,0.675,0.525,0.475
Cuba,0.8,0.833333333,0.7,0.233333333
Cyprus,0.55,0.6,0.4,0.45
Czech Republic,0.5,0.5,0.45,0.45
Denmark,0.5,0.6,0.5,0.5
Djibouti,0.5,0.3,0.2,0.65
Dominican Republic,0.78,0.82,0.72,0.26
Ecuador,0.65,0.7375,0.6,0.3125
Egypt,0.5,0.233333333,0.166666667,0.733333333
El Salvador,0.7,0.7,0.6,0.3
Eritrea,0.566666667,0.433333333,0.333333333,0.533333333
Estonia,0.5,0.4,0.4,0.4
Eswatini,0.5,0.65,0.45,0.325
Ethiopia,0.588888889,0.644444444,0.488888889,0.388888889
Fiji,0.95,0.95,0.9,0.15
Finland,0.333333333,0.266666667,0.266666667,0.3
France,0.625,0.675,0.575,0.375
Gabon,0.85,0.875,0.775,0.2
Georgia,0.45,0.433333333,0.4,0.366666667
Germany,0.333333333,0.333333333,0.3,0.333333333
Ghana,0.666666667,0.666666667,0.566666667,0.333333333
Great Britain,0.45,0.55,0.45,0.45
Greece,0.56,0.62,0.5,0.46
Guatemala,0.7,0.8,0.66,0.26
Guinea-Bissau,0.75,0.8,0.65,0.25
Guyana,0.866666667,0.866666667,0.8,0.2
Haiti,0.866666667,0.866666667,0.8,0.2
Honduras,0.8,0.84,0.74,0.26
Hong Kong China,0.43125,0.45625,0.36875,0.35
Hungary,0.5,0.5,0.45,0.45
Iceland,0.25,0.3,0.25,0.25
India,0.468421053,0.484210526,0.373684211,0.384210526
Indonesia,0.78,0.82,0.72,0.26
Iran,0.4875,0.4125,0.325,0.5625
Iraq,0.5,0.44,0.34,0.5
Ireland,0.5,0.6,0.5,0.5
Israel,0.566666667,0.466666667,0.3,0.566666667
Italy,0.4625,0.5,0.4125,0.4
Ivory Coast,0.8,0.8,0.7,0.25
Jamaica,0.866666667,0.866666667,0.8,0.2
Japan,0.516666667,0.533333333,0.466666667,0.4
Jordan,0.5,0.36,0.24,0.64
Kazakhstan,0.43,0.37,0.33,0.43
Kenya,0.644444444,0.677777778,0.544444444,0.366666667
Kuwait,0.6,0.2,0.1,0.8
Kyrgyzstan,0.375,0.3,0.2875,0.45
Latvia,0.5,0.5,0.45,0.45
Lebanon,0.6,0.7,0.5,0.45
Liberia,0.8,0.8,0.7,0.25
Lithuania,0.5,0.5,0.45,0.45
Luxembourg,0.5,0.6,0.5,0.5
Madagascar,0.625,0.725,0.5875,0.325
Malaysia,0.95,0.95,0.9,0.15
Mali,0.566666667,0.433333333,0.333333333,0.533333333
Mexico,0.6,0.621428571,0.485714286,0.428571429
Moldova,0.533333333,0.566666667,0.5,0.466666667
Mongolia,0.266666667,0.183333333,0.166666667,0.4
Montenegro,0.575,0.625,0.5,0.45
Morocco,0.5,0.36,0.24,0.64
Mozambique,0.5,0.65,0.45,0.325
Myanmar,0.475,0.6,0.4375,0.2875
Namibia,0.45,0.25,0.175,0.7
Netherlands,0.5,0.6,0.5,0.5
New Zealand,0.333333333,0.4,0.333333333,0.333333333
Nicaragua,0.866666667,0.866666667,0.8,0.2
Nigeria,0.65,0.55,0.45,0.45
North Korea,0.34,0.3,0.3,0.28
Norway,0.333333333,0.333333333,0.3,0.316666667
Oman,0.6,0.2,0.1,0.8
Pakistan,0.457142857,0.428571429,0.35,0.478571429
Panama,0.866666667,0.866666667,0.8,0.2
Papua New Guinea,0.866666667,0.866666667,0.8,0.2
Paraguay,0.62,0.68,0.56,0.36
Peru,0.518181818,0.518181818,0.4,0.4
Philippines,0.76,0.86,0.7,0.2
Poland,0.466666667,0.433333333,0.4,0.433333333
Portugal,0.6,0.7,0.5,0.45
Qatar,0.6,0.2,0.1,0.8
Romania,0.46,0.46,0.4,0.48
Russia,0.366666667,0.36,0.326666667,0.34
Rwanda,0.533333333,0.7,0.5,0.333333333
Saudi Arabia,0.55,0.15,0.1,0.85
Senegal,0.625,0.55,0.425,0.45
Serbia,0.533333333,0.566666667,0.5,0.466666667
Sierra Leone,0.8,0.8,0.7,0.25
Slovakia,0.466666667,0.433333333,0.4,0.433333333
Slovenia,0.5,0.5,0.45,0.45
Solomon Islands,1.0,1.0,1.0,0.1
Somalia,0.6,0.5,0.366666667,0.5
South Africa,0.518181818,0.536363636,0.390909091,0.5
South Korea,0.45,0.466666667,0.416666667,0.35
Spain,0.5,0.566666667,0.433333333,0.5
Sri Lanka,0.9,0.933333333,0.833333333,0.166666667
Sudan,0.566666667,0.433333333,0.333333333,0.533333333
Suriname,0.95,0.95,0.9,0.15
Sweden,0.375,0.35,0.325,0.35
Switzerland,0.35,0.375,0.325,0.35
Syria,0.5,0.4,0.283333333,0.616666667
Tajikistan,0.4125,0.3875,0.325,0.4625
Tanzania,0.65,0.75,0.6,0.2875
Thailand,0.775,0.825,0.725,0.225
Togo,0.7,0.7,0.6,0.3
Trinidad and Tobago,0.8,0.8,0.7,0.25
Tunisia,0.5,0.36,0.24,0.64
Turkey,0.5,0.522222222,0.444444444,0.444444444
Turkmenistan,0.475,0.4,0.275,0.6
UAE,0.6,0.2,0.1,0.8
USA,0.481818182,0.463636364,0.4,0.395454545
Uganda,0.716666667,0.75,0.65,0.3
Ukraine,0.483333333,0.466666667,0.416666667,0.45
Uruguay,0.55,0.65,0.55,0.5
Uzbekistan,0.45,0.425,0.35,0.5125
Venezuela,0.642857143,0.657142857,0.528571429,0.371428571
Vietnam,0.7,0.766666667,0.633333333,0.266666667
Zambia,0.5,0.65,0.45,0.325
Zimbabwe,0.52,0.56,0.38,0.42
