country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Australia,4.75,33.2,19.7,23.7,26.3,30.2,10.6,11.6,11.3,19.6,23.7,24.6,20.7,48.8,50.3,45.3,41.4,38.8,33.6,46.9,39.2,23.2,38.9,21.4,29.1,29.4,28,28.3,27.5,23.2,14.4,11.2,10.3,9.74,8.05,12.5,12.1
Austria,24.7,42.3,13.5,2.52,15.9,4.85,19.1,17,45.1,17.6,7.57,0.697,15.4,31.8,44.4,29.8,32.1,16.4,12.2,31.9,31.1,31.6,24,28.6,30.5,45,35.4,49,36.3,29.4,42.7,33.2,39.5,40.8,38.9,39.5,40.7
Belgium,84.5,83.7,11,11.4,15.9,18.9,26.9,21.8,20.3,19.8,6.78,4.48,15.5,37,37.3,34.1,27.5,24.5,29.9,22.1,17.6,18.5,17.7,17.1,21.8,13.6,14.7,20.4,20.8,19.7,19.2,21.6,20.4,25.6,18.9,20.6,25.3
Canada,33.7,38.6,18,25.3,8.41,5.14,8.45,3.28,3.35,0.986,7.22,9.67,9.35,7.14,16.2,10.1,18.9,12.3,28.1,25.1,14.3,11.2,9.29,21.7,17.3,14,25.2,15.7,19.1,18.6,20.3,26,25.8,15.8,15.8,19.4,11
Switzerland,47,46,12,15,8.7,11.5,14.6,19.5,14.7,13.1,12.8,11.9,12.3,11.4,16.6,5,13.4,12.6,16.8,16.2,11.7,13.2,15.2,9.96,10.2,7.46,,8.41,6.61,8,7.13,7.42,6.76,6.41,6.1,7.18,7.09
Germany,54.6,54.8,21.7,18.8,23.6,18.7,18.7,19.8,16.6,19.3,17.4,19.9,20.4,20.8,24.3,26.4,22.2,19.1,20.5,22,20.6,23.5,21.1,24.7,25.2,20.7,20.2,24.8,22.2,23.8,21.2,25.1,26.4,23.6,8.86,24.1,24.5
Denmark,100,100,13.7,19,5.6,15.3,3.83,13.8,8.24,9.5,13.5,0.53,5.76,10.2,3.7,3.32,3.71,4.6,1.49,1.93,13.5,10.7,13,4.19,7.94,4.3,11.4,7.58,1.58,10.7,4.86,13.2,5.52,9.21,9.6,2.13,5.61
Spain,,,,,,,,,,,,,,,,,,,,,6.81,5.3,9.41,12.4,10.6,12.5,16.7,15.8,21.3,33.3,18.2,17.2,15.4,11.4,19.1,15.7,14.1
Finland,,,29.6,13.5,14.1,20.2,15.1,1.54,8.61,3.66,3,4.8,4.97,4.47,3.52,7.86,,6.18,5.66,2.05,6.76,3.64,5.85,5.25,10.4,5.29,11.1,9.56,14,13.4,12,14.3,14.6,24.3,10.3,8.44,7.61
France,62.9,63.7,46.8,33.4,38.2,38.4,40.5,38.5,41.6,44.6,30.1,33.3,38.3,34.7,33.6,25.7,30,27.9,31.9,34.2,36,36.1,38.8,40.2,32.7,39.3,43.1,43.9,47.3,36.1,37.2,41.2,42.2,41.5,39.5,38,36.8
UK,49.8,32.4,15.9,16.2,0.912,0.704,20.3,12.6,9.82,20.6,27.1,18.8,15.6,13.3,26.2,17.1,16.9,18.6,20,17.5,18.2,21.3,20.4,19.8,15.9,16.1,17.2,13.3,16.4,11.7,16.2,6.71,15,15.5,11.1,12.9,18
Greece,,,,,,,,,,,,,,,,,,,,,,,,,57.3,57.3,39.7,20.4,8.19,7.83,10.7,8.56,39.9,17.3,25.9,16.6,29.4
Ireland,,,,,,,,,,,,,,,29.3,34.3,31.4,26.4,28.2,,41.4,33.5,,23.3,28.5,28.5,,28.4,29.9,29,27.5,24.8,19.1,17.5,18.8,15.1,18.7
Italy,20.1,95.8,,,39.5,,45.9,46.1,23.2,21.9,11.9,11.4,6.65,7.2,7.17,4.94,5.07,6.92,6.28,9.99,9.04,6.08,15.7,12.3,16.8,11.8,10.8,18,13.5,6.67,19.2,24.3,7.74,15.3,7.36,5.73,7.65
Japan,12.6,12.3,2.92,1.08,2.15,2.57,2.87,3.19,2.92,3.09,3.58,3.73,7.15,6,8.76,11,7.74,6.13,8.59,9.81,8.79,8.54,7.99,10.2,10.5,6.52,6.93,7.89,12.5,7.59,9.53,12.9,13.4,15.2,8.76,11,8.12
Luxembourg,,,,,,,,,,,,,,,,,,,,,,10.3,3.94,,21.5,21.6,30.9,29.9,28.9,29.4,,,,21.4,21,23.8,15.6
Netherlands,,42,32.6,12.4,15,10.9,11.6,12.5,12.7,10.8,15.5,16.6,16.2,17,18.5,13.4,7.35,10.1,10.8,20.1,29.1,8.7,5.08,15.1,9.12,12.5,13.8,18.2,20.1,17.6,16.9,18,18,18.8,21.5,29.1,21.8
Norway,54.7,48.8,32.4,9.71,5.74,7.04,13.3,5.89,5.51,2.84,2.6,2.45,8.72,7.52,10.7,8.85,12,3.09,14.3,7.56,8.22,7.25,3.97,4.31,4.48,11,14.6,9.3,15.4,9.97,9.74,14.1,14.5,14.7,14.2,13.2,13.3
New Zealand,,,19.5,20.9,5.15,8.89,28.7,22.7,16.5,19.2,19,17.3,19.4,15.2,13,,46.8,67.6,,15.3,59.1,47.6,50.8,49.9,49.9,,,58.2,48.3,50.8,48.5,44.7,39.5,40.7,34.5,34.4,32.4
Portugal,,,,,,,,,,,,,,,,,,,,,,60.1,,42,47.8,41,36,18.4,14.7,18.8,22.7,22.2,39.2,40,35.7,35.4,28.2
Sweden,32.6,23.4,15,13.7,20.7,18.1,16.7,21.2,17,6.75,16.5,16.6,17.5,12.3,11.5,15.8,13.1,14.6,6.46,8.7,14.2,7.63,9.68,11,13.3,11.7,13.6,10.4,11,9.03,6.19,10.6,9.87,10.8,8.93,8.45,5.4
USA,69.3,64,9.97,,7.75,6.19,,7.5,6.99,11.9,10.4,5.91,7.09,11.4,10.9,10.4,11.8,12.6,13.7,11.3,11.2,11.2,11.2,7.99,8.46,8.41,4.7,3.04,5.75,3.74,5.61,3.69,2.34,3.21,3.67,2.83,4.52
